STATIONS,93001,93003,93005,93007,93009,93011,93013,93015,93017,93019,93021,93023,93025,93027,93029,93031,93033,93035,93037,93039,93041
CHURCHGATE,,,05:03,05:52,07:11,07:42,,08:49,,10:03,,,,,,15:18,,,,,20:20
Marine Lines,,,05:06,05:55,07:14,07:45,,08:52,,10:06,,,,,,15:21,,,,,20:23
Charni Road,,,05:09,05:58,07:17,07:47,,08:54,,10:08,,,,,,15:23,,,,,20:25
Grant Road,,,05:11,06:01,07:19,07:50,,08:57,,10:11,,,,,,15:26,,,,,20:28
MUMBAI CENTRAL (L),,,05:13,06:05,07:22,07:52,,08:59,,10:13,,,,,,15:28,,,,,20:30
DADAR,,,05:20,06:13,07:29,07:59,,09:06,,10:20,,,,,,15:35,,18:00,,,20:37
BANDRA,,,05:27,06:18,07:35,08:04,,09:11,,10:25,,,,,,15:40,,18:06,,,20:42
ANDHERI,,,05:36,06:26,07:45,08:12,,09:19,,10:33,,,,,,15:48,,18:14,,,20:51
BORIVALI,,,05:49,06:39,07:58,08:25,,09:32,10:26,10:47,,,,,,16:03,,18:28,,,21:06
Dahisar,,,,,,,,,,,,,,,,,,18:34,,,
Mira Road,,,,,,,,,,,,,,,,,,18:38,,,
BHAYANDAR,,,05:58,06:47,08:08,08:39,,09:46,10:41,11:01,,,,,,16:12,,18:43,,,21:17
Naigaon,,,,,,,,,,,,,,,,,,18:49,,,
VASAI ROAD,,,06:05,06:54,08:18,08:49,,09:57,10:53,11:13,,,,,,16:21,,18:55,,,21:29
Nallasopara,,,,,,,,,,,,,,,,,,19:01,,,
VIRAR,04:50,05:35,06:15,07:04,08:29,09:01,09:30,10:07,11:05,11:25,12:00,12:20,13:20,15:05,15:45,16:29,18:18,19:07,20:30,21:20,21:41
Vaitarna,05:01,05:46,06:25,07:14,08:41,09:10,09:41,10:16,11:15,11:36,12:11,12:30,13:31,15:16,15:57,16:39,18:28,19:17,20:41,21:30,21:51
Saphale,05:09,05:54,06:33,07:22,08:49,09:18,09:49,10:24,11:23,11:44,12:19,12:38,13:38,15:24,16:05,16:47,18:35,19:25,20:49,21:38,21:59
Kelve Road,05:16,06:00,06:40,07:29,08:55,09:24,09:56,10:31,11:29,11:51,12:25,12:44,13:44,15:30,16:11,16:55,18:41,19:31,20:55,21:45,22:06
PALGHAR,05:32,06:08,06:56,07:44,09:03,09:32,10:12,10:40,11:37,11:59,12:33,13:05,13:52,15:38,16:19,17:19,18:55,19:39,21:18,22:01,22:20
Umroli,05:38,06:15,07:02,07:50,09:10,09:38,10:18,10:46,11:43,12:05,12:38,13:10,13:57,15:43,16:25,17:25,19:01,19:45,21:24,22:07,22:26
Boisar,05:44,06:21,07:08,07:56,09:16,09:44,10:24,10:52,11:51,12:11,12:44,13:16,14:03,15:49,16:32,17:31,19:07,19:51,21:30,22:12,22:33
Vangaon,05:52,06:28,07:17,08:04,09:24,09:52,10:32,11:00,12:00,12:19,12:52,13:32,14:11,16:04,16:52,17:39,19:15,20:00,21:38,22:20,22:48
DAHANU ROAD,06:15,06:50,07:38,08:25,09:50,10:15,10:50,11:25,12:20,12:40,13:08,13:50,14:26,16:30,17:08,18:00,19:30,20:20,21:55,22:35,23:05